[2021-05-21 19:08:39.854271 +09:00] KRW-HUNT, last: 393, min: 371
[2021-05-21 19:08:40.874212 +09:00] KRW-HUNT, last: 393, min: 372
[2021-05-21 19:08:41.891170 +09:00] KRW-HUNT, last: 393, min: 372
[2021-05-21 19:09:06.873357 +09:00] KRW-ELF, last: 531, min: 504
[2021-05-21 19:09:08.922760 +09:00] KRW-ELF, last: 531, min: 504
[2021-05-21 19:09:09.858956 +09:00] KRW-ELF, last: 531, min: 504
[2021-05-21 19:09:10.877288 +09:00] KRW-ELF, last: 532, min: 504
[2021-05-21 19:09:11.919282 +09:00] KRW-ELF, last: 531, min: 504
[2021-05-21 19:09:12.876504 +09:00] KRW-ELF, last: 533, min: 504
[2021-05-21 19:09:13.893242 +09:00] KRW-ELF, last: 533, min: 504
[2021-05-21 19:09:14.855565 +09:00] KRW-ELF, last: 533, min: 504
[2021-05-21 19:09:15.856345 +09:00] KRW-ELF, last: 533, min: 503
[2021-05-21 19:09:16.898925 +09:00] KRW-ELF, last: 533, min: 505
[2021-05-21 19:09:17.912113 +09:00] KRW-ELF, last: 532, min: 504
[2021-05-21 19:09:18.873711 +09:00] KRW-ELF, last: 533, min: 506
[2021-05-21 19:09:24.870631 +09:00] KRW-ELF, last: 532, min: 505
[2021-05-21 19:09:25.892348 +09:00] KRW-ELF, last: 533, min: 505
[2021-05-21 19:09:26.914107 +09:00] KRW-ELF, last: 533, min: 506
[2021-05-21 19:09:27.871535 +09:00] KRW-ELF, last: 533, min: 506
[2021-05-21 19:09:29.851226 +09:00] KRW-ELF, last: 533, min: 506
[2021-05-21 19:09:59.917244 +09:00] KRW-LAMB, last: 73.3, min: 69.6
[2021-05-21 19:10:00.876125 +09:00] KRW-ELF, last: 535, min: 506
[2021-05-21 19:10:00.877163 +09:00] KRW-LAMB, last: 73.3, min: 69.6
[2021-05-21 19:10:01.888659 +09:00] KRW-ELF, last: 535, min: 507
[2021-05-21 19:10:03.876171 +09:00] KRW-ELF, last: 535, min: 507
[2021-05-21 19:10:04.915937 +09:00] KRW-ELF, last: 535, min: 508
[2021-05-21 19:10:06.035986 +09:00] KRW-ELF, last: 536, min: 507
[2021-05-21 19:10:06.874960 +09:00] KRW-ELF, last: 535, min: 507
[2021-05-21 19:10:06.875873 +09:00] KRW-LAMB, last: 73.4, min: 69.6
[2021-05-21 19:10:07.894836 +09:00] KRW-ELF, last: 535, min: 507
[2021-05-21 19:10:07.896162 +09:00] KRW-LAMB, last: 73.6, min: 69.6
[2021-05-21 19:10:08.855786 +09:00] KRW-ELF, last: 535, min: 508
[2021-05-21 19:10:08.856796 +09:00] KRW-LAMB, last: 73.6, min: 69.6
[2021-05-21 19:10:09.874363 +09:00] KRW-ELF, last: 535, min: 508
[2021-05-21 19:10:09.875066 +09:00] KRW-LAMB, last: 73.6, min: 69.6
[2021-05-21 19:10:10.896288 +09:00] KRW-ELF, last: 539, min: 507
[2021-05-21 19:10:10.897652 +09:00] KRW-LAMB, last: 73.6, min: 69.6
[2021-05-21 19:10:11.864892 +09:00] KRW-ELF, last: 536, min: 507
[2021-05-21 19:10:11.866442 +09:00] KRW-LAMB, last: 73.6, min: 69.6
[2021-05-21 19:10:12.884909 +09:00] KRW-ELF, last: 538, min: 507
[2021-05-21 19:10:12.891002 +09:00] KRW-LAMB, last: 73.6, min: 69.6
[2021-05-21 19:10:13.877611 +09:00] KRW-ELF, last: 536, min: 507
[2021-05-21 19:10:13.878476 +09:00] KRW-LAMB, last: 73.7, min: 69.6
[2021-05-21 19:10:14.974622 +09:00] KRW-ELF, last: 536, min: 507
[2021-05-21 19:10:14.976141 +09:00] KRW-LAMB, last: 73.7, min: 69.6
[2021-05-21 19:10:15.873919 +09:00] KRW-ELF, last: 539, min: 507
[2021-05-21 19:10:15.874881 +09:00] KRW-LAMB, last: 73.7, min: 69.6
[2021-05-21 19:10:16.893848 +09:00] KRW-ELF, last: 539, min: 507
[2021-05-21 19:10:16.895055 +09:00] KRW-LAMB, last: 73.7, min: 69.6
[2021-05-21 19:10:17.871246 +09:00] KRW-LAMB, last: 73.6, min: 69.6
[2021-05-21 19:10:17.875299 +09:00] KRW-ELF, last: 540, min: 506
[2021-05-21 19:10:18.903230 +09:00] KRW-ELF, last: 538, min: 506
